어휘,뜻풀이
가볍다,무게가 일반적이거나 기준이 되는 대상의 것보다 적다비중이나 가치 책임 따위가 낮거나 적다죄과나 실수 따위가 그다지 심하지 않다병세나 상처 따위가 그다지 심하지 않다생각이나 언어 행동이 침착하지 못하거나 진득하지 못하다몸이나 손발 따위의 움직임이 날쌔고 재다노력이나 부담 따위가 적다정도가 대수롭지 않고 예사롭다다루기에 힘이 들지 않고 수월하다바람이나 물결 따위의 이는 정도가 약하다닿는 정도가 약하다소리나 색깔 따위가 밝고 경쾌하다세금이나 잘못에 대한 대가로 치르는 형량 벌금 따위가 적다옷차림이나 화장이 요란하지 않고 산뜻하거나 활동하기에 편하다마음이 홀가분하고 경쾌하다
가볍디가볍다,무게가 일반적이거나 기준이 되는 대상의 것보다 훨씬 적다
가분가분하다,들기 좋을 정도로 여럿이 다 또는 매우 가볍다말이나 행동 따위가 여럿이 다 또는 매우 가볍다
가분하다,들기 좋을 정도로 가볍다말이나 행동 따위가 가볍다몸의 상태가 가볍고 상쾌하다마음에 부담이 없이 가볍고 편안하다
가붓가붓하다,여럿이 다 조금 가벼운 듯하다
가붓하다,조금 가벼운 듯하다
가빈친로하다,집안의 사정이 여의치 못하여 마땅치 않은 일이라도 해야 할 정도이다 집이 가난하고 어버이가 늙었다는 뜻에서 나온 말이다
가빈하다,집안이 가난하다
가뿐가뿐하다,들기 좋을 정도로 여럿이 다 또는 매우 가볍다말이나 행동 따위가 여럿이 다 또는 매우 가볍다
가뿐하다,들기 좋을 정도로 가볍다 가분하다보다 센 느낌을 준다말이나 행동 따위가 가볍다 가분하다보다 센 느낌을 준다몸의 상태가 가볍고 상쾌하다 가분하다보다 센 느낌을 준다마음에 부담이 없이 가볍고 편안하다 가분하다보다 센 느낌을 준다
가뿟가뿟하다,여럿이 다 조금 가벼운 듯하다 가붓가붓하다보다 센 느낌을 준다
가뿟하다,조금 가벼운 듯하다 가붓하다보다 센 느낌을 준다
가쁘다,숨이 몹시 차다힘에 겹다몹시 급하거나 빠르다
가살궂다,말씨나 행동이 몹시 되바라지고 밉상스럽다
가살스럽다,말씨나 행동이 되바라지고 밉상스러운 데가 있다
가살지다,말씨나 행동이 되바라지고 밉상스럽다
가상스럽다,보기에 착하고 기특한 데가 있다
가상하다,착하고 기특하다
가석하다,몹시 아깝다
가세하다,성질이 까다롭고 잘다
가소롭다,같잖아서 우스운 데가 있다
가소하다,썩 작다
