어휘,뜻풀이
싸다,걸음이 재빠르다들은 말 따위를 진중하게 간직하지 아니하고 잘 떠벌리다불기운이 세다성질이 곧고 굳세다비탈진 정도가 급하다
싸다,물건값이나 사람 또는 물건을 쓰는 데 드는 비용이 보통보다 낮다저지른 일 따위에 비추어서 받는 벌이 마땅하거나 오히려 적다
싸하다,혀나 목구멍 또는 코에 자극을 받아 아린 듯한 느낌이 있다어떤 것이 아린 듯한 자극성이 있다
싹수없다,장래성이 없다
싹싹하다,눈치가 빠르고 사근사근하다
싹없다,장래성이 없다
쌀랑하다,사늘한 기운이 있어 조금 추운 듯하다 살랑하다보다 센 느낌을 준다갑자기 놀라 가슴속에 찬 바람이 도는 듯한 느낌이 있다 살랑하다보다 센 느낌을 준다
쌀쌀맞다,성격이나 행동이 따뜻한 정이나 붙임성이 없이 차갑다
쌀쌀스럽다,사람의 성격이나 행동이 정다운 맛이 없고 차가운 듯하다
쌀쌀하다,날씨나 바람 따위가 음산하고 상당히 차갑다사람의 성질이나 태도가 정다운 맛이 없고 차갑다
쌈박하다,물건이나 어떤 대상이 시원스럽도록 마음에 들다일의 진행이나 처리 따위가 시원하고 말끔하게 이루어지다
쌉싸래하다,조금 쓴 맛이 있는 듯하다
쌉싸름하다,조금 쓴 맛이 있는 듯하다
쌉쌀하다,조금 쓴 맛이 있다
쌍그렇다,찬 바람이 불 때 베옷이나 여름옷 따위를 입은 모양이 매우 쓸쓸하고 어설프다서늘한 기운이 있다
쌍글하다, 쌍그렇다
쌍까풀지다,눈꺼풀이 두 겹으로 겹쳐지다
쌍꺼풀지다,눈꺼풀이 두 겹으로 겹쳐지다
쌍되다,말이나 행동에 예의가 없어 보기에 천하다 상되다보다 센 느낌을 준다
쌍스럽다,말이나 행동이 보기에 천하고 교양이 없다 상스럽다보다 센 느낌을 준다
쌍전하다,두 쪽 또는 두 가지 일이 모두 온전하거나 완전하다
쌍절하다,두 가지가 모두 뛰어나다
쌔무룩하다,마음에 못마땅하여 별로 말이 없고 얼굴에 언짢은 기색이 있다 새무룩하다보다 센 느낌을 준다
쌩쌩하다,시들거나 상하지 아니하고 생기가 있다 생생하다보다 센 느낌을 준다힘이나 기운 따위가 왕성하다 생생하다보다 센 느낌을 준다빛깔 따위가 맑고 산뜻하다 생생하다보다 센 느낌을 준다바로 눈앞에 보는 것처럼 명백하고 또렷하다 생생하다보다 센 느낌을 준다
쌩하다,바람이 세차게 스쳐 지나가는 소리가 나는 듯하다사람이나 물체가 바람을 일으킬 만큼 빠르게 움직이는 소리가 나는 듯하다
써느렇다,물체의 온도나 기온이 꽤 찬 듯하다 서느렇다보다 센 느낌을 준다갑자기 놀라거나 무서워 찬 기운이 느껴지는 듯하다 서느렇다보다 센 느낌을 준다사람의 성격이나 태도 따위가 차가운 듯하다
써늘하다,물체의 온도나 기온이 꽤 찬 느낌이 있다 서늘하다보다 센 느낌을 준다사람의 성격이나 태도 따위가 차가운 데가 있다 서늘하다보다 센 느낌을 준다갑자기 놀라거나 무서워 찬 느낌이 있다 서늘하다보다 센 느낌을 준다
썩썩하다,눈치가 빠르고 서근서근하다
썰렁하다,서늘한 기운이 있어 조금 추운 듯하다 설렁하다보다 센 느낌을 준다있어야 할 것이 없어 어딘가 빈 듯한 느낌이 있다갑자기 놀라 가슴속에 찬바람이 도는 듯한 느낌이 있다 설렁하다보다 센 느낌을 준다
썰썰하다,속이 빈 것처럼 시장한 느낌이 있다
쏙소그레하다,조금 작은 여러 개의 물건이 크기가 거의 고르다 속소그레하다보다 센 느낌을 준다
쏙소그르르하다, 쏙소그레하다
쏜살같다,쏜 화살과 같이 매우 빠르다
쏠쏠하다,품질이나 수준 정도 따위가 웬만하여 괜찮거나 기대 이상이다
쑥수그레하다,조금 굵은 여러 개의 물건이 크기가 거의 고르다 숙수그레하다보다 센 느낌을 준다
쑥수그르르하다, 쑥수그레하다
쑥스럽다,하는 짓이나 모양이 자연스럽지 못하여 우습고 싱거운 데가 있다
쑬쑬하다,품질이나 수준 정도 따위가 웬만하여 기대 이상이다
쑬하다,쑬쑬하다의 준말
쓰다,혀로 느끼는 맛이 한약이나 소태 씀바귀의 맛과 같다달갑지 않고 싫거나 괴롭다몸이 좋지 않아서 입맛이 없다
쓰디쓰다,몹시 쓰다몹시 괴롭다
쓰라리다,상처가 쓰리고 아리다마음이 몹시 괴롭다
쓰렁쓰렁하다,사귀는 정이 버성기어 서로의 사이가 소원하다
쓰레하다,쓰러질 듯이 한쪽으로 기울어져 있다
쓰리다,쑤시는 것같이 아프다몹시 시장하거나 과음하거나 하여 배 속이 거북하다마음이 쑤시는 것처럼 아프고 괴롭다
쓸데없다,아무런 쓸모나 득이 될 것이 없다
쓸모없다,쓸 만한 가치가 없다
쓸쓸하다,외롭고 적적하다날씨가 으스스하고 음산하다
씁쓰레하다,조금 씁쓸한 듯하다달갑지 아니하여 조금 싫거나 언짢은 듯하다
씁쓰름하다,조금 씁쓸한 듯하다달갑지 아니하여 조금 싫거나 언짢은 듯하다
씁쓸하다,조금 쓰다달갑지 아니하여 조금 싫거나 언짢다
씨그둥하다,귀에 거슬려 달갑지 아니하다
씨무룩하다,마음에 못마땅하여 말이 없고 얼굴에 언짢은 기색이 있다 시무룩하다보다 센 느낌을 준다
씨식잖다,같잖고 되잖다
씨억씨억하다,성질이 굳세고 활발하다
씨엉씨엉하다,걸음걸이나 행동 따위가 기운차고 활기 있다
씨원하다, 시원하다
씩씩하다,굳세고 위엄스럽다
씩잖다,씨식잖다의 준말
씽씽하다,시들거나 상하지 아니하고 생기가 있다 싱싱하다보다 센 느낌을 준다힘이나 기운 따위가 왕성하다 싱싱하다보다 센 느낌을 준다빛깔 따위가 맑고 산뜻하다 싱싱하다보다 센 느낌을 준다
아건하다,시가나 산문이 품위가 있고 기운차다
아결하다,단아하며 깨끗하다
아귀세다,마음이 굳세어 남에게 잘 꺾이지 아니하다남을 휘어잡는 힘이나 수완이 있다손으로 잡는 힘이 세다
아귀차다,휘어잡기 어려울 만큼 벅차다마음이 굳세어 남에게 잘 꺾이지 아니하다
아금박스럽다,탐탁하고 살뜰한 데가 있다
아금받다,야무지고 다부지다무슨 기회든지 재빠르게 붙잡아 이용하는 소질이 있다
아긋아긋하다,물건의 각 조각이 이가 맞지 않아 끝이 조금씩 어긋나 있다무게나 부피 길이 따위가 어떤 기준에 조금 어그러져 있다
아긋하다,물건의 각 조각이 이가 맞지 않아 끝이 조금씩 어긋나 있다무게나 부피 길이 따위가 어떤 기준에 조금 어그러져 있다
아기똥하다,말이나 행동 따위가 매우 거만하고 앙큼한 데가 있다조금 틈이 나 있다
아기자기스럽다,여러 가지가 오밀조밀 어울려 예쁜 데가 있다잔재미가 있고 즐거운 데가 있다
아기자기하다,여러 가지가 오밀조밀 어울려 예쁘다잔재미가 있고 즐겁다
아깝다,소중히 여기는 것을 잃어 섭섭하거나 서운한 느낌이 있다어떤 대상이 가치 있는 것이어서 버리거나 내놓기가 싫다가치 있는 대상이 제대로 쓰이거나 다루어지지 못하여 안타깝다
아낌없다,주거나 쓰는 데 아까워하는 마음이 없다
아나하다,곱고 아리땁다
아나하다,부드럽고 야들야들하다
아늑하다,포근하게 감싸 안기듯 편안하고 조용한 느낌이 있다따뜻하고 포근한 느낌이 있다
아니꼽다,비위가 뒤집혀 구역날 듯하다하는 말이나 행동이 눈에 거슬려 불쾌하다
아니꼽살머리스럽다,아니꼽살스럽다를 속되게 이르는 말
아니꼽살스럽다,지나치게 아니꼬운 데가 있다
아니다,어떤 사실을 부정하는 뜻을 나타내는 말물음이나 짐작의 뜻을 나타내는 말 사실을 긍정적으로 강조하는 효과가 있다
아담스럽다,고상하면서 담백한 데가 있다
아담하다,고상하면서 담백하다적당히 자그마하다
아둔하다,슬기롭지 못하고 머리가 둔하다
아드막하다,멀거나 약해서 매우 어슴푸레하다
아득아득하다,보이거나 들리는 것이 아주 희미하고 멀다정신이 자꾸 흐려지는 상태에 있다정신이 흐려졌다 맑아졌다 하는 상태에 있다
아득하다,보이는 것이나 들리는 것이 희미하고 매우 멀다까마득히 오래되다정신이 흐려진 상태이다어떻게 하면 좋을지 몰라 막막하다
아뜩아뜩하다,머리가 어지러워 자꾸 정신을 잃고 까무러칠 듯하다
아뜩하다,갑자기 어지러워 정신을 잃고 까무러칠 듯하다
아라사병정하다,예전에 노곤하다를 속되게 이르던 말
아람차다, 아름차다
아랑곳없다,어떤 일에 참견을 하거나 관심을 둘 필요가 없다
아려하다,아담하고 곱다
아련하다,똑똑히 분간하기 힘들게 아렴풋하다
아렴풋하다,기억이나 생각 따위가 또렷하지 아니하고 흐릿하다물체가 또렷이 보이지 아니하고 흐릿하다소리가 또렷하게 들리지 아니하고 희미하다잠이 깊이 들지 아니하고 의식이 있는 듯 만 듯 하다
아령칙하다,기억이나 형상 따위가 긴가민가하여 또렷하지 아니하다
아로록다로록하다,조금 연하게 밝은 여러 가지 빛깔의 점이나 줄 따위가 조금 성기고 고르지 아니하게 무늬를 이룬 데가 있다
아로록아로록하다,조금 연하게 밝은 여러 가지 빛깔의 점이나 줄 따위가 조금 성기고 고르게 무늬를 이룬 데가 있다
아로롱다로롱하다,여러 가지 빛깔의 작은 점이나 줄 따위가 고르지 아니하고 조금 성기게 무늬를 이룬 데가 있다
아로롱아로롱하다,여러 가지 빛깔의 작은 점이나 줄 따위가 고르고 조금 성기게 무늬를 이룬 데가 있다
아록다록하다,아로록다로록하다의 준말
아록아록하다,아로록아로록하다의 준말
아롱다롱하다,여러 가지 빛깔의 작은 점이나 줄 따위가 고르지 아니하고 촘촘하게 무늬를 이룬 데가 있다
아롱아롱하다,여러 가지 빛깔의 작은 점이나 줄 따위가 고르고 촘촘하게 무늬를 이룬 데가 있다
아르르하다,조금 알알한 듯하다
아른스럽다,어린 사람이 어른인 체하는 태도가 있다어린아이의 말이나 행동이 어른 같은 데가 있다
아름답다,보이는 대상이나 음향 목소리 따위가 균형과 조화를 이루어 눈과 귀에 즐거움과 만족을 줄 만하다하는 일이나 마음씨 따위가 훌륭하고 갸륵한 데가 있다
아름차다,힘에 겹다어떤 일을 한 뒤에 결과가 몹시 좋아서 자랑스러움과 자부심을 갖게 할 만큼 만족스럽다
아리까리하다, 알쏭달쏭하다 아리송하다
아리다,혀끝을 찌를 듯이 알알한 느낌이 있다상처나 살갗 따위가 찌르는 듯이 아프다마음이 몹시 고통스럽다
아리딸딸하다,알딸딸하다의 본말알딸딸하다의 본말알딸딸하다의 본말
아리땁다,마음이나 몸가짐 따위가 맵시 있고 곱다
아리송아리송하다,여럿이 다 그런 것 같기도 하고 그렇지 않은 것 같기도 하여 또렷하게 분간하기 어렵다
아리송하다,그런 것 같기도 하고 그렇지 않은 것 같기도 하여 분간하기 어렵다기억이나 생각 따위가 떠오를 듯하면서도 떠오르지 않다
아리아리하다,여럿이 다 모두 뒤섞여 또렷하게 분간하기 어렵다
아리아리하다,계속해서 아린 느낌이 있다
아리잠직하다,키가 작고 모습이 얌전하며 어린 티가 있다
아릿아릿하다,몹시 아린 느낌이 있다
아릿자릿하다,전기가 오른 것처럼 몹시 아리고 자리다순간적으로 크게 위태로움을 느껴 정신을 잃고 쓰러질 듯하다
아릿하다,눈앞에 어려 오는 것이 아렴풋하다
아릿하다,조금 아린 느낌이 있다
아마득하다,시간상이나 공간상으로 아주 멀다
아망스럽다,아이가 오기를 부리는 태도가 있다
아무러하다,구체적으로 정하지 않은 어떤 상태나 조건에 놓여 있다어떤 것에 전혀 손대지 않은 상태에 있다는 뜻을 나타낸다되는대로 막 하는 상태에 있다
아무렇다,아무러하다의 준말아무러하다의 준말
아뭏다, 아무렇다
아삼아삼하다,무엇이 보일 듯 말 듯 희미하다무엇이 기억날 듯 말 듯 희미하다
아수롭다, 아쉽다
아수룩하다,겉모습이나 언행이 치밀하지 못하여 조금 순진하고 어설픈 데가 있다제도나 규율에 의한 통제가 조금 느슨하다
아순하다,말씨나 필적 문장 따위가 점잖고 기품이 있다
아쉽다,필요할 때 없거나 모자라서 안타깝고 만족스럽지 못하다미련이 남아 서운하다
아스라하다,보기에 아슬아슬할 만큼 높거나 까마득하게 멀다기억이 분명하게 나지 않고 가물가물하다먼 곳에서 들려오는 소리가 분명하지 않고 희미하다
아스랗다,아스라하다의 준말아스라하다의 준말아스라하다의 준말
아스름하다, 아슴푸레하다
아스무레하다, 아슴푸레하다
아스스하다,차거나 싫은 것이 몸에 닿았을 때 약간 소름이 돋는 느낌이 있다
아슥아슥하다,여러 개가 모두 한쪽으로 조금 비뚤어져 있다
아슬아슬하다,소름이 끼칠 정도로 약간 차가운 느낌이 잇따라 드는 듯하다일 따위가 잘 안될까 봐 두려워서 소름이 끼칠 정도로 마음이 약간 위태롭거나 조마조마하다
아슬하다,몸에 소름이 끼치도록 차가운 느낌이 있다일 따위가 잘 안될까 봐 두려워서 소름이 끼칠 정도로 마음이 약간 위태롭다
아슬하다,아찔아찔할 정도로 높거나 낮다
아슴아슴하다,정신이 흐릿하고 몽롱하다
아슴츠레하다, 아슴푸레하다
아슴푸레하다,빛이 약하거나 멀어서 조금 어둑하고 희미하다또렷하게 보이거나 들리지 아니하고 희미하고 흐릿하다기억이나 의식이 분명하지 못하고 조금 희미하다
아슴푸릇하다, 아슴푸레하다
아심여칭하다,어느 한쪽에 치우침이 없이 공평한 마음과 자세를 갖고 있다 내 마음이 저울과 같다는 뜻에서 나온 말이다
아쓱아쓱하다,갑자기 무섭거나 차가움을 느낄 때 몸이 자꾸 약간 움츠러드는 데가 있다
아쓱하다,갑자기 무섭거나 차가움을 느낄 때 몸이 약간 움츠러드는 데가 있다
아아하다,산이나 큰 바위 따위가 험하게 우뚝 솟아 있다위엄이 있고 성하다
아양스럽다,귀염을 받으려고 알랑거리는 태도가 있다
아연하다,급작스러운 데가 있다
아연하다,너무 놀라거나 어이가 없어서 또는 기가 막혀서 입을 딱 벌리고 말을 못 하는 상태이다
아옹하다,굴이나 구멍 따위가 쏙 오므라져 들어가 있다속이 좁은 사람이 성에 안 차서 달갑지 않게 여기는 티가 있다
아울하다,의심스러워 답답하다
아이러니하다,모순된 점이 있다
아이로니컬하다,아이러니의 속성이 있다
아정하다,기품이 높고 바르다
아졸하다,성품이 단아하나 융통성이 없다
아질아질하다,자꾸 또는 매우 정신이 아득하고 조금 어지럽다 아찔아찔하다보다 여린 느낌을 준다
아질하다,갑자기 정신이 아득하고 조금 어지럽다 아찔하다보다 여린 느낌을 준다
아찔아찔하다,자꾸 또는 매우 정신이 아득하고 조금 어지럽다
아찔하다,갑자기 정신이 아득하고 조금 어지럽다
아처롭다, 애처롭다
아칙하다,성품이 단아하고 조심스럽다
아프다,몸의 어느 부분이 다치거나 맞거나 자극을 받아 괴로움을 느끼다몸이 병이 나거나 들어 앓는 상태에 있다오랫동안 어떤 일을 하여 몸의 어떤 부분에 괴로운 느낌을 받는 상태에 있다해결하기 어려운 일이나 복잡한 문제로 생각을 하기 어렵거나 괴로운 상태에 있다슬픔이나 연민이나 쓰라림 따위가 있어 괴로운 상태에 있다
아하다,깨끗하고 맑다
아혹하다,괴이하고 의심스럽다
악괄하다,입이 험하고 떠들썩하다
악덕하다,마음씨나 행실이 도덕에 어긋나 있다
악독스럽다,마음이 흉악하고 독살스러운 데가 있다
악독하다,마음이 흉악하고 독하다
악랄무쌍하다,비길 데 없이 매우 악랄하다
악랄하다,악독하고 잔인하다
악렬하다,매우 나쁘다
악물스럽다,보기에 악독한 데가 있다
악바르다, 약빠르다
악세다,마음먹은 바를 이루려는 뜻이나 행동이 악착스럽고 세다생선의 뼈나 식물의 줄기 잎 따위가 빳빳하고 세다팔 다리 골격 따위가 우락부락하고 거칠어 힘이 세어 보이다
악스럽다,보기에 악한 데가 있다성품이나 행동이 살기가 있고 악독한 데가 있다
악역무도하다,비길 데 없이 악독하고 도리에 맞지 아니한 데가 있다
악연하다,몹시 놀라 정신이 아찔하다
악지스럽다,악지를 부리는 데가 있다
악착같다,매우 모질고 끈덕지다
악착스럽다,매우 모질고 끈덕지게 일을 해 나가는 태도가 있다
악착하다,일을 해 나가는 태도가 매우 모질고 끈덕지다도량이 몹시 좁다잔인하고 끔찍스럽다
악특하다,악하고 간특하다
악하다,인간의 도덕적 기준에 어긋나 나쁘다
안가하다,집안사람들이 모두 편안하다
안가하다,평안하고 한가하다
안가하다,값이 싸다
안강하다,평안하고 건강하다
안걸하다,몸이 튼튼하고 굳세다
안고수비하다,이상만 높고 실천이 따르지 못하는 데가 있다 눈은 높으나 솜씨는 서투르다는 뜻에서 나온 말이다
안고수저하다,이상만 높고 실천이 따르지 못하는 데가 있다 눈은 높으나 솜씨는 서투르다는 뜻에서 나온 말이다
안고하다,안전하고 튼튼하다
안녕하다,아무 탈 없이 편안하다몸이 건강하고 마음이 편안하다 안부를 전하거나 물을 때에 쓴다
안달머리스럽다,안달스럽다를 속되게 이르는 말
안달스럽다,안달하는 성격이 있다
안되다,섭섭하거나 가엾어 마음이 언짢다근심이나 병 따위로 얼굴이 많이 상하다
안락하다,몸과 마음이 편안하고 즐겁다
안명수쾌하다,눈치가 빠르고 일을 하는 것이 날쌔다
안밀하다,조용하고 평안하다
안복하다,평안하고 행복하다
안부하다,편안하고 부유하다
안비막개하다,일이 몹시 바쁘다 눈코 뜰 사이가 없다는 뜻에서 나온 말이다
안사하다,마음 편하고 제멋대로이다
안상하다,성질이 찬찬하고 자세하다
안생하다,눈에 설거나 생소하다
안서럽다, 안쓰럽다
안서하다,마음이 편안하고 조용하다
안숙하다,눈에 익다
안스럽다, 안쓰럽다
안슬프다, 안쓰럽다
안심찮다,남에게 폐를 끼쳐서 미안하다안심이 되지 아니하고 걱정스럽다
안쓰럽다,손아랫사람이나 약자에게 도움을 받거나 폐를 끼쳤을 때 마음에 미안하고 딱하다손아랫사람이나 약자의 딱한 형편이 마음이 아프고 가엽다
안안하다,즐겁고 화평하다
안여하다,불안해하거나 초조해하지 아니하고 차분하고 침착하다민심이 평화롭고 걱정 없이 편안하다
안연자약하다,마음에 어떠한 충동을 받아도 움직임이 없이 천연스럽다
안연하다,불안해하거나 초조해하지 아니하고 차분하고 침착하다민심이 평화롭고 걱정 없이 편안하다
안온하다,조용하고 편안하다날씨가 바람이 없고 따뜻하다
안유하다,넉넉하여 편안하다
안이꼽다, 아니꼽다
안이하다,너무 쉽게 여기는 태도나 경향이 있다근심이 없이 편안하다
안일하다,편안하고 한가롭다 또는 편안함만을 누리려는 태도가 있다무엇을 쉽고 편안하게 생각하여 관심을 적게 두는 태도가 있다
안전하다,위험이 생기거나 사고가 날 염려가 없다
안차다,겁이 없고 야무지다
안침지다,안쪽으로 치우쳐 구석지고 으슥하다
안타깝다,뜻대로 되지 아니하거나 보기에 딱하여 가슴 아프고 답답하다
안타하다,야무지지 못하고 게으르다
안태하다,평안하고 태평하다
안평하다,걱정이나 탈이 없다 또는 무사히 잘 있다
안퐁하다,언덕 따위의 가운데가 오목하게 들어가 아늑하다
안한하다,평안하고 한가롭다
안혼하다,시력이 흐리다
안화하다,조용하고 편안하다날씨가 바람이 없고 따뜻하다
안활하다,시야가 훤히 터져 있다
안후하다,몹시 뻔뻔스럽다 낯가죽이 두껍다는 뜻에서 나온 말이다
알근달근하다,맛이 조금 매우면서 달짝지근하다
알근알근하다,매워서 입 안이 매우 알알하다술에 취하여 정신이 매우 아렴풋하다
알근하다,매워서 입 안이 조금 알알하다술에 취하여 정신이 조금 아렴풋하다
알금삼삼하다,잘고 얕게 얽은 자국이 드문드문 있다
알금솜솜하다,잘고 얕게 얽은 자국이 드문드문 있다
알금알금하다,잘고 얕게 얽은 자국이 듬성듬성 있다
알기살기하다,가는 것이 요리조리 뒤섞여 얽혀 있다
알까지다,지나치게 약삭빠르다
알끈하다,무엇을 잃거나 기회를 놓치고서 오랫동안 잊지 못하여 아쉬운 감이 있다
알딸딸하다,뜻밖의 일로 당황하거나 여러 가지 일이 복잡해서 정신을 가다듬지 못하다머리가 울리고 어지럽다술에 취하여 정신이 조금 아렴풋하다
알뜰살뜰하다,일이나 살림을 정성껏 규모 있게 꾸려 가는 데가 있다다른 사람에게 정성을 쏟는 데가 있다
알뜰하다,일이나 살림을 정성스럽고 규모 있게 하여 빈틈이 없다다른 사람을 아끼고 위하는 마음이 참되고 지극하다
알라꿍달라꿍하다,여러 가지 밝은 빛깔의 점이나 줄 따위가 고르지 아니하고 촘촘하게 무늬를 이루어 몹시 어수선하다
알락달락하다,여러 가지 밝은 빛깔의 점이나 줄 따위 무늬가 고르지 아니하게 촘촘하다
알락알락하다,여러 가지 밝은 빛깔의 점이나 줄 따위 무늬가 고르게 촘촘하다
알랑스럽다,보기에 알랑거리는 데가 있다
알량꼴량하다,몰골이 사납고 보잘것없다
알량스럽다,보기에 시시하고 보잘것없는 데가 있다
알량하다,시시하고 보잘것없다
알로까다,낮잡는 뜻으로 몹시 약다
알로록달로록하다,여러 가지 밝은 빛깔의 점이나 줄 따위가 조금 성기고 고르지 아니하게 무늬를 이룬 상태이다
알로록알로록하다,여러 가지 밝은 빛깔의 점이나 줄 따위가 고르게 무늬를 이룬 상태이다
알로롱달로롱하다,여러 가지 빛깔의 작고 또렷한 점이나 줄 따위가 고르지 아니하고 조금 성기게 무늬를 이룬 상태이다
알로롱알로롱하다,여러 가지 빛깔의 작고 또렷한 점이나 줄 따위가 고르고 조금 성기게 무늬를 이룬 상태이다
알록달록하다,알로록달로록하다의 준말
알록알록하다,알로록알로록하다의 준말
알롱달롱하다,여러 가지 빛깔의 작고 또렷한 점이나 줄 따위가 고르지 아니하고 촘촘하게 무늬를 이룬 상태이다
알롱알롱하다,여러 가지 빛깔의 작고 또렷한 점이나 줄 따위가 고르고 촘촘하게 무늬를 이룬 상태이다
알맞다,일정한 기준 조건 정도 따위에 넘치거나 모자라지 아니한 데가 있다
알매하다,일에 어둡다
알삽하다,정신이 아리송하다문장의 조리가 잘 통하지 않아 알아보기 힘들다
알싸하다,매운맛이나 독한 냄새 따위로 코 속이나 혀끝이 알알하다
알쏭달쏭하다,여러 가지 빛깔로 된 점이나 줄이 고르지 않게 뒤섞여 무늬를 이룬 상태이다그런 것 같기도 하고 그렇지 않은 것 같기도 하여 얼른 분간이 안 되는 상태이다
알쏭알쏭하다,여러 가지 빛깔로 된 점이나 줄이 고르게 뒤섞여 무늬를 이룬 상태이다그런 것 같기도 하고 그렇지 않은 것 같기도 하여 분간하기 매우 어렵다
알쏭하다,그런 것 같기도 하고 그렇지 않은 것 같기도 하여 분간하기 어렵다기억이나 생각 따위가 떠오를 듯하면서도 떠오르지 않다
알알하다,맵거나 독하여 혀끝이 약간 아리고 쏘는 느낌이 있다상처 따위로 약간 아린 느낌이 있다술에 취하여 약간 정신이 아리송하다
알연하다,쇠붙이가 부딪치는 소리나 학의 울음소리 따위가 맑고 아름답다멀리서 들려오는 노래나 악기 소리가 맑고 은은하다
알지다,알에 살이 많이 오르다실속이 있다몸에 살이 많이 오르다
알짝지근하다,살이 알알하게 아프다음식의 맛이 약간 달면서도 알알한 느낌이 있다알맞게 취하다살붙이의 관계나 알음알음의 인연이 약간 있는 듯하다
알쭌하다,다른 것이 섞이거나 더해지지 않아 순수하거나 순전하다
알찌근하다,알짝지근하다의 준말알짝지근하다의 준말알짝지근하다의 준말알짝지근하다의 준말
알차다,속이 꽉 차 있거나 내용이 아주 실속이 있다
알케하다, 매캐하다
알콩달콩하다,아기자기하고 사이좋게 사는 상태이다
알큰하다,매워서 입 안이 조금 알알하다 알근하다보다 거센 느낌을 준다술에 조금 취하여 정신이 아렴풋하다 알근하다보다 거센 느낌을 준다
앍둑앍둑하다,얼굴에 깊게 앍은 자국이 성기게 있다
앍박앍박하다,얼굴에 깊게 앍은 자국이 촘촘하게 있다
앍작앍작하다,얼굴에 잘고 굵은 것이 섞이어 얕게 앍은 자국이 촘촘하게 있다
앍족앍족하다,얼굴에 잘고 굵은 것이 섞이어 얕게 앍은 자국이 많다
암담하다,어두컴컴하고 쓸쓸하다희망이 없고 절망적이다
암독하다,암상스럽고 독살스럽다
암되다,남자가 성격이 소극적이며 수줍음을 잘 타는 데가 있다
암둔하다,어리석고 우둔하다
암띠다,비밀스러운 것을 좋아하는 성질이 있다수줍은 성질이 있다
암련하다,사물과 이치에 정통한 데가 있다
암막하다,어두컴컴하고 쓸쓸하다
암매하다,일에 어둡다
암매하다,어리석어 생각이 어둡다
암맹하다,도리를 모르고 무지하다
암상궂다,몹시 남을 시기하고 샘을 잘 내는 마음이나 태도가 있다
암상스럽다,보기에 남을 시기하고 샘을 잘 내는 데가 있다
암상하다,남을 시기하고 샘을 잘 내는 마음이나 태도가 있다
암암하다,기억에 남은 것이 눈앞에 아른거리는 듯하다깊숙하고 고요하다
암암하다,어둡고 컴컴하다속이 상하여 시무룩하다
암암하다,산이나 바위가 높고 험하다
암약하다,어리석고 겁이 많으며 줏대가 없다
암연하다,흐리고 어둡다
암연하다,어렴풋하고 애매하다
암연하다,슬프고 침울하다
암우하다,사리를 분간하지 못할 정도로 어리석다
암울스럽다,어두컴컴하고 답답한 데가 있다절망적이고 침울한 데가 있다
암울하다,어두컴컴하고 답답하다절망적이고 침울하다
암잔하다,어리석고 겁이 많으며 줏대가 없다
암통하다,앙큼스럽고 앙똥하다
암특하다,성질이 음흉하고 험상하다
암팡스럽다,몸은 작아도 야무지고 다부진 면이 있다
암팡지다,몸은 작아도 힘차고 다부지다
암퍅하다,성질이 엉큼하면서 까다롭고 고집이 세다
암하다,남을 시기하고 샘을 잘 내는 데가 있다
암흑연하다,어둡고 캄캄하다사회나 인생에 암담하고 비참한 일이 존재하는 듯하다
암흑하다,어둡고 캄캄하다비유적으로 암담하고 비참하다
압닐하다,매우 친하고 가깝다
압설하다,사이가 너무 가까워서 예의가 없다
앙그러지다,하는 짓이 꼭 어울리고 짜인 맛이 있다모양이 어울려서 보기에 좋다음식이 먹음직스럽다
앙글하다, 앙상하다
앙념불이하다,원망스러워 즐겁지 아니하다
앙달머리스럽다,어른 아닌 사람이 어른인 체하며 얄망궂고 능청스러운 짓을 부리는 데가 있다
앙당하다,모양이 어울리지 아니하게 작다
앙똥하다,말이나 행동이 분수에 맞지 아니하게 조금 지나치다
앙바틈하다,짤막하고 딱 바라져 있다
앙살궂다,매우 엄살을 부리며 버티고 겨루는 점이 있다
앙살스럽다,엄살을 부리며 버티고 겨루는 태도가 있다
앙상궂다,꼭 짜이지 아니하여 어울리지 아니하고 매우 어설프다살이 빠져서 뼈만 남을 만큼 매우 바짝 마른 듯하다나뭇잎이 지고 가지만 남아서 매우 스산하다
앙상스럽다,꼭 짜이지 아니하여 어울리지 아니하고 어설픈 듯하다살이 빠져서 뼈만 남아 바짝 마른 듯하다나뭇잎이 지고 가지만 남아서 스산한 듯하다
앙상하다,꼭 짜이지 아니하여 어울리지 아니하고 어설프다살이 빠져서 뼈만 남을 만큼 바짝 마른 듯하다나뭇잎이 지고 가지만 남아서 스산하다
앙세다,몸은 약하여 보여도 힘이 세고 다부지다
앙앙하다,매우 마음에 차지 아니하거나 야속하다
앙연하다,마음에 차지 아니하거나 야속하다
앙연하다,사물이나 감정 따위가 넘친 상태이다
앙울하다,불평불만으로 마음이 우울하다
앙장하다,일이 바빠서 의용을 가다듬을 겨를이 없다는 뜻으로 직무에 분주함을 이르는 말 시경의 북산에 나오는 말이다
앙증맞다,작으면서도 갖출 것은 다 갖추어 아주 깜찍하다
앙증스럽다,작으면서도 갖출 것은 다 갖추어 아주 깜찍한 데가 있다
앙증하다,제격에 어울리지 아니하게 작다작으면서도 갖출 것은 다 갖추어 깜찍하고 귀엽다
앙징스럽다, 앙증스럽다
앙징하다, 앙증하다
